"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"C-1950","","Charger","N/A","No Warranty Data",,"N/A","N/A"
"2892","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","N/A"
"2413","","Dell Latitude 3445 Chromebook","N/A","No Warranty Data",,"N/A","N/A"
"2404","","Dell Latitude 3445 Chromebook","N/A","No Warranty Data",,"N/A","N/A"
"2804","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","N/A"
"2757","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","N/A"
"CNBRQ7S2JH","","HP Color LaserJet MFP M283cdw","N/A","No Warranty Data",,"N/A","719.89"
"UQA189986","","Xerox® VersaLink® C625 Color Multifunction Printer","N/A","No Warranty Data",,"N/A","N/A"
"5AV044030","","WorkCentre 6515","N/A","No Warranty Data",,"N/A","1974.90"
"5AV420969","","WorkCentre 6515","N/A","No Warranty Data",,"N/A","1974.90"
"CN62RAK0RD","","HP OfficeJet Pro 8720","N/A","No Warranty Data",,"N/A","389.84"
"5AV037598","","WorkCentre 6515","N/A","No Warranty Data",,"N/A","649.99"
"U64646A4F256983","","Brother MFC-L8900CDW series","N/A","No Warranty Data",,"N/A","649.99"
"5AV416838","","WorkCentre 6515","N/A","No Warranty Data",,"N/A","1974.00"
"CN79MC614B","","HP OfficeJet Pro 8720","N/A","No Warranty Data",,"N/A","618.00"
"5AV421053","WorkCentre-6515-1001","WorkCentre 6515","N/A","No Warranty Data",,"N/A","1974.90"
"11L3803882-1201","","Kyocera MA4500ix","N/A","No Warranty Data",,"N/A","1169.00"
"1626","","Dell Latitude 5540","N/A","No Warranty Data",,"N/A","N/A"
"4C:D5:77:B1:51:AB","MFC-L3710CD-1213","Brother MFC-L3710CW series","N/A","No Warranty Data",,"N/A","459.99"
"2377","","Dell Latitude 3445 Chromebook","N/A","No Warranty Data",,"N/A","400.00"
"3191","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"987","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"450","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1546","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1473","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1SXSK0","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1SW3RV","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"287","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1445","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1797","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2531","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1039","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1135","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1sw0te","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"808","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1swdzb","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"915","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2632","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
